K1,K2,GROUP,CPUD,INTCD,TIMERD,SERIALD,SUMD
at91,sam9x,5-4,0,0,0,0,0
at91,sam9x,5-5,0,0,0,0,0
at91,sam9x,5-6,0,0,0,0,0
at91,sam9x,5-7,0,0,0,0,0
at91,sam9x,5-8,0,0,0,0,0
at91,sam9x,5-9,0,0,0,0,0
at91,sam9x,5-10,0,0,0,0,0
at91,sam9x,5-11,0,0,0,0,0
at91,sam9x,5-12,0,0,0,0,0
at91,sam9x,5-13,0,0,0,0,0
at91,sam9x,5-14,0,0,0,0,0
at91,sam9x,5-15,0,0,0,0,0
at91,sam9x,5-16,0,0,0,0,0
at91,sam9x,5-17,0,0,0,0,0
at91,sam9x,5-18,0,0,0,0,0
at91,sam9x,5-19,1,0,1,0,2
at91,sam9x,5-20,0,0,0,0,0
at91,sam9x,5-21,0,0,0,0,0
at91,sam9x,5-22,0,0,0,0,0
at91,sam9x,5-23,0,0,0,0,0
at91,sam9x,5-24,0,0,0,0,0
at91,sam9x,5-25,0,0,0,0,0
at91,sam9x,5-26,0,0,0,0,0
at91,sam9x,5-27,0,0,0,0,0
at91,sam9x,5-28,0,0,0,0,0
at91,sam9x,5-29,0,0,0,0,0
at91,sam9x,5-30,0,0,0,0,0
at91,sam9x,5-31,0,0,0,0,0
at91,sam9x,5-32,0,0,0,0,0
at91,sam9x,5-33,0,0,0,0,0
at91,sam9x,5-34,0,0,0,0,0
at91,sam9x,5-35,0,0,0,0,0
at91,sam9x,5-36,1,0,1,0,2
at91,sam9x,5-37,0,0,0,0,0
at91,sam9x,5-38,0,0,0,0,0
at91,sam9x,5-39,0,0,0,0,0
at91,sam9x,5-40,0,0,0,0,0
at91,sam9x,5-41,0,0,0,0,0
at91,sam9x,5-42,0,0,0,0,0
at91,sam9x,5-43,0,0,0,0,0
at91,sam9x,5-44,0,0,0,0,0
at91,sam9x,5-45,0,0,0,0,0
at91,sam9x,5-46,0,0,0,0,0
at91,sam9x,5-47,0,0,0,0,0
at91,sam9x,5-48,0,0,0,0,0
at91,sam9x,5-49,0,0,0,0,0
at91,sam9x,5-50,0,0,0,0,0
at91,sam9x,5-51,0,0,0,0,0
at91,sam9x,5-52,0,0,0,0,0
at91,sam9x,5-53,0,0,0,0,0
at91,sam9x,5-54,0,0,0,0,0
at91,sam9x,5-55,0,0,0,0,0
at91,sam9x,6-0,0,0,0,0,0
at91,sam9x,6-1,0,0,0,0,0
at91,sam9x,6-2,0,0,0,0,0
at91,sam9x,6-3,0,0,0,0,0
at91,sam9x,6-4,0,0,0,0,0
at91,sam9x,6-5,0,0,0,0,0
at91,sam9x,6-6,0,0,0,0,0
at91,sam9x,6-7,0,0,0,0,0
at91,sam9x,6-8,0,0,0,0,0
at91,sam9x,6-9,0,0,0,0,0
at91,sam9x,6-10,0,0,0,0,0
at91,sam9x,6-11,0,0,0,0,0
at91,sam9x,6-12,0,0,0,0,0
at91,sam9x,6-13,0,0,0,0,0
at91,sam9x,6-14,0,0,0,0,0
at91,sam9x,6-15,0,0,0,0,0
at91,sam9x,6-16,0,0,0,0,0
at91,sam9x,6-17,0,0,0,0,0
at91,sam9x,6-18,0,0,0,0,0
at91,sam9x,6-19,1,0,1,0,2
at91,sam9x,6-20,0,0,0,0,0
at91,sam9x,6-21,0,0,0,0,0
at91,sam9x,6-22,0,0,0,0,0
at91,sam9x,6-23,0,0,0,0,0
at91,sam9x,6-24,0,0,0,0,0
at91,sam9x,6-25,0,0,0,0,0
at91,sam9x,6-26,0,0,0,0,0
at91,sam9x,6-27,0,0,0,0,0
at91,sam9x,6-28,0,0,0,0,0
at91,sam9x,6-29,0,0,0,0,0
at91,sam9x,6-30,0,0,0,0,0
at91,sam9x,6-31,0,0,0,0,0
at91,sam9x,6-32,0,0,0,0,0
at91,sam9x,6-33,0,0,0,0,0
at91,sam9x,6-34,0,0,0,0,0
at91,sam9x,6-35,0,0,0,0,0
at91,sam9x,6-36,1,0,1,0,2
at91,sam9x,6-37,0,0,0,0,0
at91,sam9x,6-38,0,0,0,0,0
at91,sam9x,6-39,0,0,0,0,0
at91,sam9x,6-40,0,0,0,0,0
at91,sam9x,6-41,0,0,0,0,0
at91,sam9x,6-42,0,0,0,0,0
at91,sam9x,6-43,0,0,0,0,0
at91,sam9x,6-44,0,0,0,0,0
at91,sam9x,6-45,0,0,0,0,0
at91,sam9x,6-46,0,0,0,0,0
at91,sam9x,6-47,0,0,0,0,0
at91,sam9x,6-48,0,0,0,0,0
at91,sam9x,6-49,0,0,0,0,0
at91,sam9x,6-50,0,0,0,0,0
at91,sam9x,6-51,0,0,0,0,0
at91,sam9x,6-52,0,0,0,0,0
at91,sam9x,6-53,0,0,0,0,0
at91,sam9x,6-54,0,0,0,0,0
at91,sam9x,6-55,0,0,0,0,0
at91,sam9x,7-0,0,1,0,0,1
at91,sam9x,7-1,0,1,0,0,1
at91,sam9x,7-2,0,1,0,0,1
at91,sam9x,7-3,0,1,0,0,1
at91,sam9x,7-4,0,1,0,0,1
at91,sam9x,7-5,0,1,0,0,1
at91,sam9x,7-6,0,1,0,0,1
at91,sam9x,7-7,0,0,0,0,0
at91,sam9x,7-8,0,1,0,0,1
at91,sam9x,7-9,0,1,0,0,1
at91,sam9x,7-10,0,0,0,0,0
at91,sam9x,7-11,0,1,0,0,1
at91,sam9x,7-12,0,0,0,0,0
at91,sam9x,7-13,0,0,0,0,0
at91,sam9x,7-14,0,0,0,0,0
at91,sam9x,7-15,0,1,0,0,1
at91,sam9x,7-16,0,0,0,0,0
at91,sam9x,7-17,0,1,0,0,1
at91,sam9x,7-18,0,0,0,0,0
at91,sam9x,7-19,1,1,1,0,3
at91,sam9x,7-20,0,1,0,0,1
at91,sam9x,7-21,0,1,0,0,1
at91,sam9x,7-22,0,1,0,0,1
at91,sam9x,7-23,0,1,0,0,1
at91,sam9x,7-24,0,1,0,0,1
at91,sam9x,7-25,0,1,0,0,1
at91,sam9x,7-26,0,1,0,0,1
at91,sam9x,7-27,0,0,0,0,0
at91,sam9x,7-28,0,1,0,0,1
at91,sam9x,7-29,0,1,0,0,1
at91,sam9x,7-30,0,0,0,0,0
at91,sam9x,7-31,0,1,0,0,1
at91,sam9x,7-32,0,1,0,0,1
at91,sam9x,7-33,0,0,0,0,0
at91,sam9x,7-34,0,1,0,0,1
at91,sam9x,7-35,0,1,0,0,1
at91,sam9x,7-36,1,1,1,0,3
at91,sam9x,7-37,0,0,0,0,0
at91,sam9x,7-38,0,0,0,0,0
at91,sam9x,7-39,0,1,0,0,1
at91,sam9x,7-40,0,1,0,0,1
at91,sam9x,7-41,0,1,0,0,1
at91,sam9x,7-42,0,0,0,0,0
at91,sam9x,7-43,0,0,0,0,0
at91,sam9x,7-44,0,0,0,0,0
at91,sam9x,7-45,0,0,0,0,0
at91,sam9x,7-46,0,1,0,0,1
at91,sam9x,7-47,0,1,0,0,1
at91,sam9x,7-48,0,1,0,0,1
at91,sam9x,7-49,0,1,0,0,1
at91,sam9x,7-50,0,1,0,0,1
at91,sam9x,7-51,0,1,0,0,1
at91,sam9x,7-52,0,1,0,0,1
at91,sam9x,7-53,0,0,0,0,0
at91,sam9x,7-54,0,1,0,0,1
at91,sam9x,7-55,0,1,0,0,1
at91,sam9x,8-0,0,0,0,0,0
at91,sam9x,8-1,0,0,0,0,0
at91,sam9x,8-2,0,0,0,0,0
at91,sam9x,8-3,0,0,0,0,0
at91,sam9x,8-4,0,0,0,0,0
at91,sam9x,8-5,0,0,0,0,0
at91,sam9x,8-6,0,0,0,0,0
at91,sam9x,8-7,0,0,0,0,0
at91,sam9x,8-8,0,0,0,0,0
at91,sam9x,8-9,0,0,0,0,0
at91,sam9x,8-10,0,0,0,0,0
at91,sam9x,8-11,0,0,0,0,0
at91,sam9x,8-12,0,0,0,0,0
at91,sam9x,8-13,0,0,0,0,0
at91,sam9x,8-14,0,0,0,0,0
at91,sam9x,8-15,0,0,0,0,0
at91,sam9x,8-16,0,0,0,0,0
at91,sam9x,8-17,0,0,0,0,0
at91,sam9x,8-18,0,0,0,0,0
at91,sam9x,8-19,1,0,1,0,2
at91,sam9x,8-20,0,0,0,0,0
at91,sam9x,8-21,0,0,0,0,0
at91,sam9x,8-22,0,0,0,0,0
at91,sam9x,8-23,0,0,0,0,0
at91,sam9x,8-24,0,0,0,0,0
at91,sam9x,8-25,0,0,0,0,0
at91,sam9x,8-26,0,0,0,0,0
at91,sam9x,8-27,0,0,0,0,0
at91,sam9x,8-28,0,0,0,0,0
at91,sam9x,8-29,0,0,0,0,0
at91,sam9x,8-30,0,0,0,0,0
at91,sam9x,8-31,0,0,0,0,0
at91,sam9x,8-32,0,0,0,0,0
at91,sam9x,8-33,0,0,0,0,0
at91,sam9x,8-34,0,0,0,0,0
at91,sam9x,8-35,0,0,0,0,0
at91,sam9x,8-36,1,0,1,0,2
at91,sam9x,8-37,0,0,0,0,0
at91,sam9x,8-38,0,0,0,0,0
at91,sam9x,8-39,0,0,0,0,0
