Target,Subtarget,IMAGE,REALBOOT
ramips,rt305x,dd3be1a9abcd1bbd9d3b295efa26d7e5caf84405.bin.log,56.51600003242493
ramips,rt305x,5ecf0102075430ed0a32e0fe147427ea999ba212.bin.log,55.10799980163574
ramips,rt305x,4b98192384b35e8b586cec5f07a2104cb689b5cc.bin.log,52.437999963760376
ramips,rt305x,c07537ecf18c765ce89ecd034db969284e40ead3.bin.log,52.187000036239624
ramips,rt305x,38a03be1813b92378bd7396eef027e9bd2f9d794.bin.log,50.83400011062622
ramips,rt305x,e645998d6e751f41d629fb01c1627922eab68932.bin.log,51.563000202178955
ramips,rt305x,6ba1aa528cafae4048a19b78128f1fbaa0114537.bin.log,44.58200001716614
ramips,rt305x,b92fbe4a0a9075cb1d0fdd19fd7af11785d619bb.bin.log,54.605000019073486
ramips,rt305x,bbc2942f47e4c10f5845362880050571cc65c43f.bin.log,57.342000007629395
ramips,rt305x,cf3380ad108328aa2e888a3b135e7aa32f068a4d.bin.log,49.948999881744385
ramips,rt305x,0004dbf52a6b116342a32e2451189f24405031f7.bin.log,52.29900002479553
ramips,rt305x,0ad1e8bba1c1f3be6e4545b5824e4cb953dd798e.bin.log,49.49799990653992
ramips,rt305x,673cc8124e1274201071e8bfc092a78a65bea3be.bin.log,55.705000162124634
ramips,rt305x,9f088a8e932a95f3503c8eeb84f8d4b8d9ff464d.bin.log,49.38700008392334
ramips,rt305x,8a3fe6f8662d28bd91425c390e803bbaac077c25.bin.log,46.35699987411499
ramips,rt305x,f7f008b81d54732faf020946b9a75563c137fb57.bin.log,47.12399983406067
ramips,rt305x,c0bcc9d45da44006ebe1dffbc3b4e275b839ff0a.bin.log,51.3970000743866
ramips,rt305x,ede3529152761b08e1894adcbe0deb2c6dc7d8d2.bin.log,54.26300001144409
ramips,rt305x,12da507273d06ea0a0eb790f2bf2534a16923711.bin.log,51.08899998664856
ramips,rt305x,585e50900b8e545e034c9ee00c71272314b36276.bin.log,54.621999979019165
ramips,rt305x,e5fddebd048e2ad96bac7ccc209e693736a85844.bin.log,58.717000007629395
ramips,rt305x,fc6c848006a8e64b31ede38024c2fea6d2754772.bin.log,48.99000000953674
ramips,rt305x,7df892080cf60ec68ec977eccbe813e43284c071.bin.log,49.63699984550476
ramips,rt305x,c129c55f7a0f0f1fe43cd6d9c0611e864189b648.bin.log,51.58200001716614
ramips,rt305x,7cb2eb560f8060ba2a1d56c0bebf3e5804208292.bin.log,57.473999977111816
ramips,rt305x,caccb3d87e95181e29a317235ed970e7d6a47c27.bin.log,55.34700012207031
ramips,rt305x,594a5576acb92484a02c03b2f3bb121d0d22d7b7.bin.log,49.23099994659424
ramips,rt305x,1992169940f78d1ea45a8a3e841ed3cc72ee2476.bin.log,47.335999965667725
ramips,rt305x,f69267dbfa8b8c54734108918e9f9b6f23185769.bin.log,54.17900013923645
ramips,rt305x,8c028025214c688e220b336915ca0ea45388dd18.bin.log,50.151999950408936
ramips,rt305x,ee1118f8fc9a4eb9452405124f7f0ad0c2af4deb.bin.log,53.78999996185303
ramips,rt305x,09dc3d41a690c871e18768313a4f2c236aed71ab.bin.log,52.91000008583069
ramips,rt305x,649c90a350a8293d102e58dc2589eb099aeaba75.bin.log,51.16199994087219
ramips,rt305x,fc7940f6dff028516c58d84977e3ddf23a7767fe.bin.log,53.89999985694885
