SIZE,COUNT
3491500,2
3493805,1
5622724,1
3214174,1
3524959,1
3205900,1
3240152,1
3475133,1
3472624,1
3206217,2
3475287,1
3493764,2
6408592,1
3240275,1
3276970,2
3093960,1
3093784,1
3200505,1
3192429,1
3200400,1
3200636,1
3670293,2
3491983,2
3178125,1
3218501,1
3493808,2
3491523,1
3192395,1
3179563,1
3492521,1
3472754,1
3213844,1
3493742,1
3472784,1
3493648,1
3154380,2
3192264,1
3268708,3
3555596,1
3932186,5
3192351,2
3494245,1
3218321,1
3200649,1
3670297,4
3493449,1
3492557,2
3265324,1
3198695,1
3473059,1
3192539,1
3492484,1
3604754,2
6409856,1
3493700,2
3154505,1
3175851,1
3154372,1
2690916,1
3472855,1
3491357,1
3214018,1
3213271,1
5634972,1
3492400,1
3200399,1
3491628,1
3154664,1
3530208,1
3200337,1
3525012,1
2752612,5
3178189,1
3192222,1
1365237,1
3530331,1
3200156,1
3525002,1
3206083,1
3200509,1
3491630,2
3206066,1
3525017,1
2752538,1
3530138,2
3174175,1
3492211,1
3491513,1
3491434,1
2949188,1
3491219,1
3198940,1
3408049,6
3492325,1
3199043,1
3559476,1
3093971,1
3178109,1
3491360,1
3093822,1
3206199,1
3198880,1
3492259,2
3475157,3
3179281,1
3670294,2
3240117,1
3530313,1
3178329,2
3493697,1
3093794,1
3198878,1
3475145,1
3213318,1
3179371,1
3472969,1
3240169,1
3179413,2
3493753,1
3475346,1
3205776,1
3175612,1
3179130,1
3212975,1
3206060,1
3213100,1
3200417,1
3492452,1
3240235,1
3154381,1
5668404,1
3492167,2
3191969,1
3492448,1
3198710,1
3524995,1
3218276,1
3198670,1
3212981,1
3472922,1
3178530,1
3192336,1
3214090,2
3192360,1
3524956,1
1171323,1
3179491,1
3205940,1
3670291,2
3342501,1
3493631,1
3493812,1
3178309,1
3179289,1
3491245,1
3176028,1
3093762,1
3175637,1
3493528,1
3472738,1
3213394,1
3475350,2
3399848,1
3192302,1
3214242,1
3472805,1
3213132,1
3093697,1
3192469,1
3218327,1
3093857,1
3214100,1
3214170,1
3218418,1
3240453,1
3493523,1
3175680,1
3493656,1
3492324,1
3154465,1
3206301,1
3178234,1
3175726,1
3492581,1
3530062,1
3093823,1
3179675,1
3213591,1
3472614,1
3200615,1
3218333,2
3218201,1
3493681,1
3492363,1
3175847,1
3530140,1
3491641,1
3179222,1
3525143,1
3178523,1
3472711,1
3154502,1
3192487,1
3093607,1
3472866,1
3524985,1
3206021,1
3214175,2
3093890,1
3491684,1
3491421,1
3154389,1
3493620,1
3213242,1
3218575,1
3530398,1
3179287,1
3492510,1
3192201,1
3492515,1
3408056,1
3475208,1
3493460,1
3472829,2
3192073,1
3214210,1
3530031,1
3491550,1
