pqi,1,0,1,0,0,0,0
aopen,1,0,0,0,0,0,1
m-audio,1,0,0,0,0,0,1
roccat,1,0,0,0,0,0,1
dynex,1,0,0,0,0,0,1
microstrain,1,0,0,0,0,0,1
cyrus audio,1,0,0,0,0,0,1
bmorn,1,0,0,0,0,0,1
artec,1,0,0,0,0,0,1
anysee,1,0,0,0,0,0,1
metabones,1,0,0,0,0,0,1
wismec,1,0,0,0,0,0,1
genius,1,0,0,0,0,0,1
razer,1,0,0,0,0,0,1
genesys,1,0,0,0,0,0,1
alfa network,1,0,0,0,0,0,1
polaroid,1,0,0,0,0,0,1
motorola,1,0,0,0,0,0,1
trust,1,0,0,0,0,0,1
emprex,1,0,0,0,0,0,1
